Year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted,henry_hub_price,log_henry_hub,logret_henry_hub
2011,108.911793364834,5.24131619937695,1823051829894.55,7.616,39.590421855219,24.5404113195713,31.0834686939585,11.0844615855594,-3.42928468606061,4.690538319436589,28.231533042320507,2.0302512974890643,3.678587216661648,3.200321200331022,3.436676124611754,2.4055442704461,0.0853681334484977,0.084331354297701,-0.0047157540889422,-0.0049184289922127,0.0912185794452911,0.1462511636714706,0.0069576123959768,2.4864921344297874,0.9460844703965614,4.0,1.3862943611198906,-0.0884686479876082
2012,119.235538897084,5.45638755166587,1827637590410.41,7.666,38.3474156730403,24.534430661418,31.2592910673332,10.6838562318127,-5.00488971805303,4.781100855304594,28.234045314606547,2.036794966958364,3.6466871376166594,3.200077464113381,3.442316646147978,2.368733838756268,0.0905625358680041,0.0025122722860386,0.0065436694692992,-0.031900079044988,-0.0002437362176419,0.0056405215362238,-0.0368104316898316,2.504228136725134,0.0,2.75,1.01160091167848,-0.3746934494414107
2013,131.18041028234,6.38610640094825,1856721507621.58,7.711,34.0231978997548,25.430861300519,28.4132706461587,10.2951601419598,-2.64566711733892,4.876573553489453,28.24983341808204,2.0426478808508235,3.52704258313062,3.2359634483264164,3.346856312300794,2.331673895672981,0.0954726981848594,0.0157881034754926,0.0058529138924601,-0.1196445544860396,0.0358859842130355,-0.0954603338471842,-0.0370599430832874,2.577473001145878,1.2117095783701284,3.73,1.316408233655724,0.3048073219772443
2014,139.924446113916,7.41022760508854,2039126479154.52,7.674,34.2678056268836,22.9679630081172,25.9542227389497,10.4408568081213,-1.33950896483452,4.941102606319819,28.343542635589493,2.0378379918247607,3.5342063019392067,3.134100332233924,3.2563343223445496,2.345726648830375,0.064529052830366,0.0937092175074559,-0.0048098890260629,0.007163718808587,-0.1018631160924931,-0.0905219899562441,0.0140527531573941,2.6523931757523966,1.54016945009373,4.37,1.4747630091074988,0.1583547754517747
2015,146.790501522574,7.99625378571471,2103588360044.94,7.631,32.1167301358276,19.8131891564045,22.1097247094602,10.4282907091862,-1.06754907167964,4.989006410562352,28.37466574529629,2.032218898307496,3.469377082396673,2.986347834952023,3.0960175438402446,2.34452237343356,0.0479038042425326,0.0311231097067971,-0.0056190935172645,-0.0648292195425336,-0.1477524972819004,-0.160316778504305,-0.0012042753968147,2.6928674233441976,1.5968268555541936,2.62,0.9631743177730056,-0.5115886913344934
2016,154.054013105394,8.25630550179086,2294796885663.16,7.601,30.172690580036,19.1582349105946,20.9242508026814,10.3085480747222,-0.527880606037518,5.03730327537129,28.46166545254542,2.028279817583903,3.4069372298388285,2.9527326446349043,3.04090881180058,2.3329734612177666,0.0482968648089386,0.0869997072491304,-0.0039390807235927,-0.0624398525578445,-0.0336151903171188,-0.0551087320396649,-0.0115489122157938,2.710316312109309,1.7005591694875315,2.52,0.924258901523332,-0.0389154162496736
2017,159.18119775209,6.79538341897911,2651474262755.45,7.618,30.9821728344733,18.7917648392982,21.9507321152243,10.7671989547856,-1.43948820320988,5.070043161863089,28.606136926803075,2.0305138680564125,3.4334119692133567,2.933418733405292,3.0888004927337165,2.376504378863436,0.0327398864917992,0.1444714742576529,0.0022340504725089,0.0264747393745279,-0.0193139112296121,0.047891680933137,0.0435309176456695,2.608090491529373,1.5185064652378528,2.99,1.095273387402595,0.1710144858792631
2018,165.451068899504,6.45385134497769,2702929641648.74,7.652,32.3432182154485,19.9278285988562,23.6891407335327,10.8232185258548,-2.42697545810527,5.1086754949058575,28.625357353157383,2.0349670515780063,3.4764043611166087,2.992117176902025,3.1650167462394565,2.381693689985532,0.0386323330427679,0.0192204263543087,0.0044531835215941,0.0429923919032519,0.0586984434967331,0.0762162535057396,0.0051893111220963,2.5826060981554275,1.2747800216769254,3.15,1.1474024528375415,0.0521290654349466
2019,171.621576003377,3.87143694070356,2835606256558.19,6.51,30.0961975685688,18.664264897257,21.2411386333872,11.0026755133718,-1.04961203910072,5.145291913435383,28.673276877356702,1.873339456220478,3.404398837149329,2.9266107275704565,3.055939802911797,2.3981384717114627,0.0366164185295253,0.0479195241993187,-0.1616275953575286,-0.0720055239672799,-0.0655064493315686,-0.109076943327659,0.0164447817259305,2.365481170519087,1.6004532063635892,2.56,0.9400072584914712,-0.2073951943460706
2020,182.988822584425,-5.77772470686801,2674851578587.27,7.859,28.9223840080659,18.6824769296756,19.0756283996012,11.6124524106018,1.22362111042791,5.209425072202403,28.614915010096915,2.061659371884038,3.364615828473446,2.927586021958738,2.948411520250497,2.452078006013308,0.0641331587670199,-0.0583618672597865,0.18831991566356,-0.0397830086758826,0.0009752943882817,-0.1075282826613002,0.0539395343018449,0.0,1.978033043791238,2.03,0.7080357930536959,-0.2319714654377752
2021,192.378724699015,9.68959249192875,3167270623260.47,6.38,32.1158221755014,21.3991583305515,24.0239304534931,10.4763782400684,-1.05524166809383,5.259465953629906,28.783891330816477,1.8531680973566984,3.46934881136295,3.0633515909062865,3.1790504358005944,2.349123031383945,0.0500408814275037,0.1689763207195584,-0.2084912745273393,0.1047329828895039,0.1357655689475482,0.2306389155500975,-0.1029549746293628,2.801377640745229,1.5993164730344582,3.89,1.358409157630355,0.6503733645766591
2022,205.266241146235,7.60936497768895,3346107287730.93,4.822,33.6192585388984,23.2515412045298,26.8237289453584,10.255037910793,-2.36247481487452,5.324307873807321,28.8388187824534,1.5731887797589794,3.5150990735700627,3.1463714182032616,3.289286904182899,2.32776908832814,0.0648419201774143,0.0549274516369288,-0.2799793175977191,0.0457502622071128,0.0830198272969751,0.1102364683823046,-0.0213539430558051,2.666331254757365,1.2926468966121287,6.45,1.864080130807681,0.5056709731773262
2023,216.862025027426,9.19075493028345,3638489096033.86,4.172,33.3623103638844,21.4486977833541,23.544144504402,10.3054222433801,-0.878262847208682,5.379261321948542,28.92258962789901,1.428395537138526,3.507426830604616,3.0656639341303946,3.15887714854409,2.33267018811532,0.0549534481412215,0.0837708454456079,-0.1447932426204534,-0.0076722429654468,-0.0807074840728673,-0.1304097556388093,0.0049010997871799,2.7706167565147544,1.6344479128651532,2.53,0.9282193027394288,-0.9358608280682524
2024,227.603278134168,6.49476552383821,3909891533858.08,4.202,32.9141372549127,21.1618460520863,23.4874474548813,9.98882419189295,-0.82224320865487,5.4276041051984,28.994530748839782,1.4355606024228087,3.493902269271828,3.0521998457218498,3.1564661275846086,2.301466887224235,0.0483427832498579,0.0719411209407731,0.0071650652842827,-0.0135245613327884,-0.0134640884085448,-0.0024110209594811,-0.0312033008910847,2.585693489420133,1.6453158349519723,2.19,0.7839015438284094,-0.1443177589110194
2025,227.603278134168,6.49476552383821,3909891533858.08,4.202,32.9141372549127,21.1618460520863,23.4874474548813,9.98882419189295,-0.82224320865487,5.4276041051984,28.994530748839782,1.4355606024228087,3.493902269271828,3.0521998457218498,3.1564661275846086,2.301466887224235,0.0483427832498579,0.0719411209407731,0.0071650652842827,-0.0135245613327884,-0.0134640884085448,-0.0024110209594811,-0.0312033008910847,2.585693489420133,1.6453158349519723,3.52,1.2584609896100056,0.4745594457815963
