,nifty50_close,sp500_close,gold_close,brent_close,usd_inr_close,nifty50_monthly_return,sp500_monthly_return,gold_monthly_return,brent_monthly_return,usd_inr_monthly_change,us_cpi_index,us_unemployment_rate,us_fed_funds_rate,us_10y_yield,log_nifty50_close,log_sp500_close,log_gold_close,log_brent_close,log_usd_inr_close,log_us_cpi_index,log_us_unemployment_rate,log_us_fed_funds_rate,log_us_10y_yield,log_return_nifty50_close,log_return_sp500_close,log_return_gold_close,log_return_brent_close,log_return_usd_inr_close,log_nifty50_monthly_return_shifted,log_sp500_monthly_return_shifted,log_gold_monthly_return_shifted,log_brent_monthly_return_shifted,log_usd_inr_monthly_change_shifted
us_cpi_index,0.9831146887969845,0.9675280310988329,0.7925350658895419,-0.1275020890517614,0.9212936148092179,0.01429986511988326,0.015585635339721517,0.14549556882734727,-0.04579491662755415,-0.01339753967723182,1.0,-0.6131709833234679,0.8516941541012297,0.5686308248874976,0.9612424649331176,0.9423526574403022,0.8174988636812414,-0.05990932904113215,0.8818116409149312,0.9987520639602773,-0.6585206178245677,0.7277140278084194,0.4165150787314015,0.018583000244707912,0.013644074284386251,0.14873510726855457,-0.038671895869925435,-0.006830745012212044,0.01780685581118729,0.01386536554871221,0.1483862909312321,-0.04178935718239396,-0.0072377723671085805
us_unemployment_rate,-0.6085199355160872,-0.5860948857865967,-0.21172423865518195,0.2634164895704967,-0.7018661135115961,0.11095432540562729,0.14446366950886327,0.03570656168686394,0.21398156187648187,0.004530095431155183,-0.6131709833234679,1.0,-0.5835781764158016,-0.3192590214370258,-0.6923675338452115,-0.6821956621653288,-0.1978453367237192,0.1718559971729634,-0.7246651556848256,-0.6323284716374126,0.9857993039230655,-0.7109169703618402,-0.3522256910622895,0.10219560583327723,0.14153078650905715,0.02882840403122351,0.19523158564221668,-0.0016653542240093644,0.10380370525138574,0.14183920693570207,0.029590934769740094,0.2032257625785977,-0.0012830777145955163
us_fed_funds_rate,0.829518882619043,0.7590660522868954,0.6255068176201508,-0.07873306575349731,0.7353852810529797,-0.005582227122656198,0.03390212370862115,0.1734015536316626,-0.09927105165202048,-0.02972809212368396,0.8516941541012297,-0.5835781764158016,1.0,0.7625508250378747,0.7840016656447714,0.7204550227038958,0.6380786994845651,0.007420995124155094,0.6882785549632294,0.8411677283283439,-0.6402118743424076,0.9097415898170413,0.6447579944979674,0.0009866049696084357,0.034053799177300996,0.17680008852485773,-0.07728547404548833,-0.02470526879786321,-0.0002571468717226091,0.03404517948718221,0.17644151030533597,-0.08658915904928956,-0.025017294634420466
us_10y_yield,0.5656201605658417,0.4716943400186748,0.47405992948490117,0.261737408043659,0.3418952903125321,-0.044528149335390975,-0.0016504982385141865,0.12252091080227233,-0.056079129031839536,-0.00913228524581248,0.5686308248874976,-0.3192590214370258,0.7625508250378747,1.0,0.45642048547557407,0.35947153447061747,0.43214021768508576,0.34469602047410103,0.27361451052858926,0.538884096999213,-0.3476129227120215,0.6646589594004081,0.9588703363270097,-0.03208414699665426,0.0010700940114827333,0.12475698127718009,-0.012630133679996972,-0.0068225351383750955,-0.03457985044866388,0.0007698748500206937,0.12452374680658711,-0.030320218141136904,-0.006966618863471225
log_nifty50_close,0.9755856845772499,0.9691339746622151,0.6897170368043687,-0.2797702615820183,0.936035790537486,0.06986550041482523,0.04073730937101203,0.1287125369371759,-0.01029368520653625,-0.0654618232026286,0.9612424649331176,-0.6923675338452115,0.7840016656447714,0.45642048547557407,1.0,0.9834940181800832,0.7101777405339417,-0.19420856675807796,0.9105410567975044,0.9688035166720831,-0.7348150377482018,0.7069172737427383,0.31917072727102014,0.07540501541632956,0.039400889841903125,0.1343000872326774,-0.004512750731565018,-0.05715058763285852,0.07440877285919623,0.03955537681878124,0.13369292417653086,-0.007194749464188206,-0.05766705606403883
log_sp500_close,0.9485550147311721,0.9703911975232462,0.6890826432011439,-0.3088877998813934,0.9592892574564051,0.05056565389247281,0.05772001741415101,0.1147261414331662,0.004166268024062876,-0.04998200935287954,0.9423526574403022,-0.6821956621653288,0.7204550227038958,0.35947153447061747,0.9834940181800832,1.0,0.7082672917977082,-0.23746889641447855,0.9440752515994036,0.9543639423941144,-0.7182593949989724,0.6448384624721663,0.21545147306045992,0.054694350863856045,0.05689797574083925,0.11984256965317251,0.0028293125126291918,-0.04225032047024977,0.05397388022768426,0.05699875014837481,0.11928478959563615,0.0031843709405019196,-0.04273093581283365
log_gold_close,0.8121884942797722,0.8277308780083782,0.9778905065746487,0.07633192119392825,0.6377541376531652,0.028138963264880554,0.058404768807400614,0.2515733670372643,0.009598277739536008,0.0027394213013461387,0.8174988636812414,-0.1978453367237192,0.6380786994845651,0.43214021768508576,0.7101777405339417,0.7082672917977082,1.0,0.10489574138004919,0.57618171305141,0.8016281771364921,-0.2248834021754783,0.45155447734378446,0.2647466914476454,0.02860376187784473,0.05747685480565735,0.2501326760864776,0.015183279761030828,0.00563322968669653,0.02854090080364596,0.057584313521838584,0.2503008175201032,0.013324172645332578,0.00545400866434741
log_brent_close,-0.08681877826595931,-0.14235697187644777,0.04811138829147335,0.9801668569675602,-0.3137595480503241,0.0211675869518464,0.01155609803687645,-0.09408964556206757,0.10059599676411898,0.06426257193790647,-0.05990932904113215,0.1718559971729634,0.007420995124155094,0.34469602047410103,-0.19420856675807796,-0.23746889641447855,0.10489574138004919,1.0,-0.3459938062299304,-0.07896608594150648,0.1959226725505437,-0.12228467311989277,0.4406123283676468,0.03486098233479172,0.017078630641228467,-0.0975678677825998,0.1573470985327822,0.05924476381688574,0.0320181189628636,0.016460766731901125,-0.0971958137169349,0.13497420576208793,0.059557800902415706
log_usd_inr_close,0.8535898325823978,0.876035365736622,0.564174984814256,-0.39826927286727465,0.9946114282645844,0.008908117444387794,-0.0022841517284996095,0.06926589112719195,-0.05598968355317479,0.02430409086635624,0.8818116409149312,-0.7246651556848256,0.6882785549632294,0.27361451052858926,0.9105410567975044,0.9440752515994036,0.57618171305141,-0.3459938062299304,1.0,0.8992897427829948,-0.7576173977097534,0.6427447495211477,0.13705220464473897,0.010847480342643026,-0.004429807756610997,0.07355655859995276,-0.06380723485886881,0.030555250559878455,0.010556952083789992,-0.004185525782921912,0.07308718417315119,-0.06125892543869718,0.030167113271124972
log_us_cpi_index,0.980720352613996,0.968355914350312,0.773351405320873,-0.14581462091403927,0.9347443067027169,0.015848039185635966,0.013883515209830758,0.1372597054267716,-0.044238823617042296,-0.014141661296478258,0.9987520639602773,-0.6323284716374126,0.8411677283283439,0.538884096999213,0.9688035166720831,0.9543639423941144,0.8016281771364921,-0.07896608594150648,0.8992897427829948,1.0,-0.6780510688517469,0.7245563446547267,0.3876301906387491,0.019915566238172977,0.011801135970906082,0.14072844538796866,-0.03858364901685759,-0.007439199371120532,0.01918600589271497,0.012038242528831225,0.14035362925983966,-0.041110817604207095,-0.007854643229237061
