Year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted
2001,56.3919261013738,4.82396626555771,485440139204.171,7.653,29.9078889827325,12.5583796339108,13.4348751195257,11.7614498890899,0.290495460210206,4.032325994025507,26.908321819865293,2.035097727827784,3.398122291171856,2.530388142678593,2.5978539468642765,2.464827224759504,0.03709627661934845,0.0357429121836873,0.0037965614758830764,0.15251430830980284,-0.0343486007474048,-0.03430008106377722,-0.015722904919856926,2.4511508609733728,1.8398168535931458
2002,58.815172903837,3.80397532112175,514939140318.756,7.753,30.2513001207186,14.2643839243147,15.2442790107467,11.3140950692424,1.37093793900847,4.074399864199583,26.967314556488695,2.048079865236822,3.40953916275058,2.6577657958123826,2.7242042858319606,2.426049299682408,0.04207387017407491,0.058992736623401335,0.012982137409037984,0.011416871578724458,0.1273776531337898,0.12635033896768394,-0.038777925077096015,2.3591260966968304,1.9982081206154696
2003,61.0535954523922,7.8603814759073,607700687237.318,7.68,30.8396999424416,14.9479138581734,15.6445222747346,10.8762099129119,1.44355773291234,4.111752092391633,27.13294830696962,2.038619547159581,3.4288028191549826,2.704571748840604,2.7501208413228717,2.386577827145933,0.037352228192051085,0.1656337504809229,-0.009460318077241164,0.01926365640440217,0.046805953028221235,0.02591655549091118,-0.039471472536475115,2.6836281410655083,2.0080056148304624
2004,63.3536380862151,7.92293661199932,709152728830.775,7.625,35.0964917017773,17.8591249630479,19.6446890963991,10.4047023481415,0.110018010197153,4.148732333472033,27.287336754710047,2.031432322493475,3.558101173960018,2.8825145800178555,2.97780702679199,2.3422578528185927,0.036980241080399434,0.15438844774042917,-0.007187224666105403,0.12929835480503582,0.1779428311772519,0.22768618546911826,-0.044319974327340306,2.687892480450825,1.8107296796140355
2005,66.0438512553292,7.92343062148318,820383763511.445,7.552,37.4282640165983,19.6052466948335,22.3964229200356,10.3661401972455,-1.25350400207393,4.190318934361387,27.43303807200711,2.0218124288431993,3.6224261413750622,2.975797218926208,3.1089012550391786,2.3385447443958616,0.04158660088935424,0.14570131729706456,-0.009619893650275779,0.06432496741504397,0.0932826389083521,0.13109422824718844,-0.0037131084227309645,2.6879260844617496,1.5584363051815315
2006,69.8720985315016,8.06073257166651,940259888787.721,7.552,38.9985063717532,21.2679414221966,24.4565390770687,9.80247046783494,-0.988988302952292,4.246666406913691,27.569422151431365,2.0218124288431993,3.6635233472360786,3.0572008413688145,3.1968976270782057,2.282634442462131,0.056347472552303324,0.13638407942425143,0.0,0.04109720586101674,0.08140362244260659,0.08799637203902717,-0.05591030193373047,2.6972222753632664,1.6126131490507007
2007,74.3249644718143,7.6608150670107,1216736438834.96,7.561,41.9507982267334,20.7996997489032,24.8865689304448,9.86211572842642,-0.663717648772609,4.308446890872803,27.8271933401982,2.023003456576133,3.7364974607830397,3.0349385514542,3.2143282575581975,2.288700722515725,0.06178048395911291,0.2577711887668374,0.0011910277329332758,0.07297411354696091,-0.022262289914614375,0.017430630479991813,0.0060662800535936446,2.669901004658725,1.6754451175172906
2008,80.5305542396968,3.08669805921981,1198895139005.92,7.656,38.4224196528192,24.0973572601391,29.2708631790835,10.5384811563533,-2.58337749259837,4.388636668184078,27.812421531106732,2.0354896541506533,3.648641134347926,3.182102177228174,3.376592590500722,2.3550334299166282,0.08018977731127458,-0.014771809091468321,0.012486197574520233,-0.0878563264351135,0.14716362577397393,0.16226433294252485,0.0663327074009036,2.288934624441555,1.2300826245312158
2009,89.2941733775462,7.86188883286074,1341888016994.9,7.664,39.2567917551336,20.4005193743564,25.8723502685274,11.459667419691,-1.95146209111801,4.491936238021882,27.9250987061341,2.0365340406685593,3.6701244676063625,3.0155603600533567,3.253174841260708,2.4388336898961054,0.10329956983780414,0.11267717502736842,0.0010443865179062505,0.021483333258435967,-0.1665418171748169,-0.123417749240014,0.08380025997947682,2.683731110625232,1.3995628508234268
2010,100.0,8.49758470221235,1675615519484.96,7.652,39.7856241847736,22.4009332487945,26.8542732486216,11.0076078674499,-3.25348368945179,4.605170185988092,28.147201688022804,2.0349670515780063,3.6835056456538604,3.1091026208857317,3.2904249609402836,2.398586658050123,0.11323394796620923,0.22210298188870428,-0.001566989090552966,0.013381178047498207,0.0935422608323747,0.03725011967957546,-0.04024703184598202,2.726237760766119,1.0121120641455197
